DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [381] fit: 13189.05044 | delta: 5.8e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [382] fit: 13132.33710 | delta: 5.7e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [383] fit: 13076.49150 | delta: 5.6e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [384] fit: 13021.45838 | delta: 5.5e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [385] fit: 12967.13226 | delta: 5.4e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [386] fit: 12913.37604 | delta: 5.4e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [387] fit: 12860.05690 | delta: 5.3e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [388] fit: 12807.07874 | delta: 5.3e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [389] fit: 12754.39065 | delta: 5.3e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [390] fit: 12701.97321 | delta: 5.2e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [391] fit: 12649.82056 | delta: 5.2e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [392] fit: 12597.93042 | delta: 5.2e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [393] fit: 12546.30110 | delta: 5.2e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [394] fit: 12494.93094 | delta: 5.1e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [395] fit: 12443.81831 | delta: 5.1e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [396] fit: 12392.96161 | delta: 5.1e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [397] fit: 12342.35921 | delta: 5.1e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [398] fit: 12292.00954 | delta: 5.0e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [399] fit: 12241.91100 | delta: 5.0e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [400] fit: 12192.06204 | delta: 5.0e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [401] fit: 12142.46110 | delta: 5.0e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [402] fit: 12093.10664 | delta: 4.9e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [403] fit: 12043.99713 | delta: 4.9e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [404] fit: 11995.13106 | delta: 4.9e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [405] fit: 11946.50691 | delta: 4.9e+01 | secs: 0.00579
DEBUG:MNF:MNF  ::: [406] fit: 11898.12321 | delta: 4.8e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [407] fit: 11849.97846 | delta: 4.8e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [408] fit: 11802.07120 | delta: 4.8e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [409] fit: 11754.39997 | delta: 4.8e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [410] fit: 11706.96333 | delta: 4.7e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [411] fit: 11659.75984 | delta: 4.7e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [412] fit: 11612.78808 | delta: 4.7e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [413] fit: 11566.04665 | delta: 4.7e+01 | secs: 0.00579
DEBUG:MNF:MNF  ::: [414] fit: 11519.53414 | delta: 4.7e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [415] fit: 11473.24916 | delta: 4.6e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [416] fit: 11427.19034 | delta: 4.6e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [417] fit: 11381.35632 | delta: 4.6e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [418] fit: 11335.74573 | delta: 4.6e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [419] fit: 11290.35723 | delta: 4.5e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [420] fit: 11245.18950 | delta: 4.5e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [421] fit: 11200.24121 | delta: 4.5e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [422] fit: 11155.51105 | delta: 4.5e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [423] fit: 11110.99771 | delta: 4.5e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [424] fit: 11066.69992 | delta: 4.4e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [425] fit: 11022.61638 | delta: 4.4e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [426] fit: 10978.74584 | delta: 4.4e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [427] fit: 10935.08703 | delta: 4.4e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [428] fit: 10891.63870 | delta: 4.3e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [429] fit: 10848.39963 | delta: 4.3e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [430] fit: 10805.36857 | delta: 4.3e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [431] fit: 10762.54433 | delta: 4.3e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [432] fit: 10719.92568 | delta: 4.3e+01 | secs: 0.00578
DEBUG:MNF:MNF  ::: [433] fit: 10677.51144 | delta: 4.2e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [434] fit: 10635.30042 | delta: 4.2e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [435] fit: 10593.29145 | delta: 4.2e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [436] fit: 10551.48336 | delta: 4.2e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [437] fit: 10509.87500 | delta: 4.2e+01 | secs: 0.00579
DEBUG:MNF:MNF  ::: [438] fit: 10468.46522 | delta: 4.1e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [439] fit: 10427.25290 | delta: 4.1e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [440] fit: 10386.23691 | delta: 4.1e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [441] fit: 10345.41615 | delta: 4.1e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [442] fit: 10304.78950 | delta: 4.1e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [443] fit: 10264.35589 | delta: 4.0e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [444] fit: 10224.11424 | delta: 4.0e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [445] fit: 10184.06347 | delta: 4.0e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [446] fit: 10144.20254 | delta: 4.0e+01 | secs: 0.00578
DEBUG:MNF:MNF  ::: [447] fit: 10104.53041 | delta: 4.0e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [448] fit: 10065.04604 | delta: 3.9e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [449] fit: 10025.74841 | delta: 3.9e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [450] fit: 9986.63653 | delta: 3.9e+01 | secs: 0.00570
DEBUG:MNF:MNF  ::: [451] fit: 9947.70939 | delta: 3.9e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [452] fit: 9908.96603 | delta: 3.9e+01 | secs: 0.00600
DEBUG:MNF:MNF  ::: [453] fit: 9870.40548 | delta: 3.9e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [454] fit: 9832.02679 | delta: 3.8e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [455] fit: 9793.82903 | delta: 3.8e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [456] fit: 9755.81129 | delta: 3.8e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [457] fit: 9717.97267 | delta: 3.8e+01 | secs: 0.00578
DEBUG:MNF:MNF  ::: [458] fit: 9680.31229 | delta: 3.8e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [459] fit: 9642.82930 | delta: 3.7e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [460] fit: 9605.52287 | delta: 3.7e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [461] fit: 9568.39218 | delta: 3.7e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [462] fit: 9531.43646 | delta: 3.7e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [463] fit: 9494.65495 | delta: 3.7e+01 | secs: 0.00578
DEBUG:MNF:MNF  ::: [464] fit: 9458.04694 | delta: 3.7e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [465] fit: 9421.61173 | delta: 3.6e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [466] fit: 9385.34870 | delta: 3.6e+01 | secs: 0.00568
DEBUG:MNF:MNF  ::: [467] fit: 9349.25725 | delta: 3.6e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [468] fit: 9313.33683 | delta: 3.6e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [469] fit: 9277.58698 | delta: 3.6e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [470] fit: 9242.00728 | delta: 3.6e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [471] fit: 9206.59741 | delta: 3.5e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [472] fit: 9171.35715 | delta: 3.5e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [473] fit: 9136.28639 | delta: 3.5e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [474] fit: 9101.38515 | delta: 3.5e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [475] fit: 9066.65362 | delta: 3.5e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [476] fit: 9032.09220 | delta: 3.5e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [477] fit: 8997.70149 | delta: 3.4e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [478] fit: 8963.48241 | delta: 3.4e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [479] fit: 8929.43620 | delta: 3.4e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [480] fit: 8895.56450 | delta: 3.4e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [481] fit: 8861.86942 | delta: 3.4e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [482] fit: 8828.35360 | delta: 3.4e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [483] fit: 8795.02028 | delta: 3.3e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [484] fit: 8761.87319 | delta: 3.3e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [485] fit: 8728.91645 | delta: 3.3e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [486] fit: 8696.15415 | delta: 3.3e+01 | secs: 0.00570
DEBUG:MNF:MNF  ::: [487] fit: 8663.58951 | delta: 3.3e+01 | secs: 0.00572
DEBUG:MNF:MNF  ::: [488] fit: 8631.22372 | delta: 3.2e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [489] fit: 8599.05440 | delta: 3.2e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [490] fit: 8567.07457 | delta: 3.2e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [491] fit: 8535.27290 | delta: 3.2e+01 | secs: 0.00575
DEBUG:MNF:MNF  ::: [492] fit: 8503.63602 | delta: 3.2e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [493] fit: 8472.15200 | delta: 3.1e+01 | secs: 0.00578
DEBUG:MNF:MNF  ::: [494] fit: 8440.81277 | delta: 3.1e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [495] fit: 8409.61414 | delta: 3.1e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [496] fit: 8378.55429 | delta: 3.1e+01 | secs: 0.00574
DEBUG:MNF:MNF  ::: [497] fit: 8347.63224 | delta: 3.1e+01 | secs: 0.00576
DEBUG:MNF:MNF  ::: [498] fit: 8316.84722 | delta: 3.1e+01 | secs: 0.00570
DEBUG:MNF:MNF  ::: [499] fit: 8286.19851 | delta: 3.1e+01 | secs: 0.00576
DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 831244376.72427 | delta: 8.3e+08 | secs: 0.00538
DEBUG:MNF:MNF  ::: [  1] fit: 527225425.34632 | delta: 3.0e+08 | secs: 0.00559
DEBUG:MNF:MNF  ::: [  2] fit: 346242664.73775 | delta: 1.8e+08 | secs: 0.00549
DEBUG:MNF:MNF  ::: [  3] fit: 294187991.29954 | delta: 5.2e+07 | secs: 0.00546
DEBUG:MNF:MNF  ::: [  4] fit: 257509272.41859 | delta: 3.7e+07 | secs: 0.00555
DEBUG:MNF:MNF  ::: [  5] fit: 208239740.94294 | delta: 4.9e+07 | secs: 0.00548
DEBUG:MNF:MNF  ::: [  6] fit: 158458023.05043 | delta: 5.0e+07 | secs: 0.00548
DEBUG:MNF:MNF  ::: [  7] fit: 117494166.51698 | delta: 4.1e+07 | secs: 0.00545
DEBUG:MNF:MNF  ::: [  8] fit: 87014323.34722 | delta: 3.0e+07 | secs: 0.00549
DEBUG:MNF:MNF  ::: [  9] fit: 65248224.53772 | delta: 2.2e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 10] fit: 49838121.94506 | delta: 1.5e+07 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 11] fit: 38834559.31537 | delta: 1.1e+07 | secs: 0.00548
DEBUG:MNF:MNF  ::: [ 12] fit: 30844914.50757 | delta: 8.0e+06 | secs: 0.00547
DEBUG:MNF:MNF  ::: [ 13] fit: 24928786.24690 | delta: 5.9e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 14] fit: 20462262.25438 | delta: 4.5e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 15] fit: 17030171.97645 | delta: 3.4e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 16] fit: 14351896.96256 | delta: 2.7e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 17] fit: 12233428.77838 | delta: 2.1e+06 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 18] fit: 10537330.97144 | delta: 1.7e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 19] fit: 9163976.47875 | delta: 1.4e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 20] fit: 8039672.77414 | delta: 1.1e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 21] fit: 7109071.81059 | delta: 9.3e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 22] fit: 6330248.22657 | delta: 7.8e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 23] fit: 5671365.48243 | delta: 6.6e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 24] fit: 5108261.92920 | delta: 5.6e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 25] fit: 4622616.48088 | delta: 4.9e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 26] fit: 4200539.76071 | delta: 4.2e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 27] fit: 3831476.13284 | delta: 3.7e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 28] fit: 3507304.86376 | delta: 3.2e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 29] fit: 3221602.80020 | delta: 2.9e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 30] fit: 2969103.94381 | delta: 2.5e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 31] fit: 2745360.09524 | delta: 2.2e+05 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 32] fit: 2546543.58984 | delta: 2.0e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 33] fit: 2369328.35686 | delta: 1.8e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 34] fit: 2210813.57468 | delta: 1.6e+05 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 35] fit: 2068476.29567 | delta: 1.4e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 36] fit: 1940142.81946 | delta: 1.3e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 37] fit: 1823955.07961 | delta: 1.2e+05 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 38] fit: 1718312.89486 | delta: 1.1e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 39] fit: 1621807.73312 | delta: 9.7e+04 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 40] fit: 1533184.89437 | delta: 8.9e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 41] fit: 1451351.61279 | delta: 8.2e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 42] fit: 1375410.33230 | delta: 7.6e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 43] fit: 1304674.51496 | delta: 7.1e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 44] fit: 1238640.36514 | delta: 6.6e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 45] fit: 1176927.52534 | delta: 6.2e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 46] fit: 1119222.55251 | delta: 5.8e+04 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 47] fit: 1065244.86513 | delta: 5.4e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 48] fit: 1014733.07430 | delta: 5.1e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 49] fit: 967442.99722 | delta: 4.7e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 50] fit: 923151.29678 | delta: 4.4e+04 | secs: 0.00575
DEBUG:MNF:MNF  ::: [ 51] fit: 881659.32122 | delta: 4.1e+04 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 52] fit: 842791.33464 | delta: 3.9e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 53] fit: 806386.06914 | delta: 3.6e+04 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 54] fit: 772287.99585 | delta: 3.4e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 55] fit: 740345.45555 | delta: 3.2e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 56] fit: 710415.44326 | delta: 3.0e+04 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 57] fit: 682368.41846 | delta: 2.8e+04 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 58] fit: 656087.85009 | delta: 2.6e+04 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 59] fit: 631465.55374 | delta: 2.5e+04 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 60] fit: 608397.23681 | delta: 2.3e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 61] fit: 586780.67868 | delta: 2.2e+04 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 62] fit: 566516.50253 | delta: 2.0e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 63] fit: 547510.11897 | delta: 1.9e+04 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 64] fit: 529671.55779 | delta: 1.8e+04 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 65] fit: 512910.76972 | delta: 1.7e+04 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 66] fit: 497131.33711 | delta: 1.6e+04 | secs: 0.00574
DEBUG:MNF:MNF  ::: [ 67] fit: 482229.08543 | delta: 1.5e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 68] fit: 468098.83866 | delta: 1.4e+04 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 69] fit: 454645.55417 | delta: 1.3e+04 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 70] fit: 441791.98517 | delta: 1.3e+04 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 71] fit: 429478.45616 | delta: 1.2e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 72] fit: 417657.83918 | delta: 1.2e+04 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 73] fit: 406291.35075 | delta: 1.1e+04 | secs: 0.00576
DEBUG:MNF:MNF  ::: [ 74] fit: 395347.06632 | delta: 1.1e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 75] fit: 384799.78349 | delta: 1.1e+04 | secs: 0.00579
DEBUG:MNF:MNF  ::: [ 76] fit: 374630.56686 | delta: 1.0e+04 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 77] fit: 364825.06641 | delta: 9.8e+03 | secs: 0.00578
DEBUG:MNF:MNF  ::: [ 78] fit: 355370.79485 | delta: 9.5e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 79] fit: 346254.43652 | delta: 9.1e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 80] fit: 337460.17249 | delta: 8.8e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 81] fit: 328969.46610 | delta: 8.5e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [ 82] fit: 320762.36498 | delta: 8.2e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 83] fit: 312819.80739 | delta: 7.9e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [ 84] fit: 305125.75365 | delta: 7.7e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 85] fit: 297668.04867 | delta: 7.5e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [ 86] fit: 290437.92385 | delta: 7.2e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 87] fit: 283428.94195 | delta: 7.0e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [ 88] fit: 276636.14384 | delta: 6.8e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 89] fit: 270055.56737 | delta: 6.6e+03 | secs: 0.00747
DEBUG:MNF:MNF  ::: [ 90] fit: 263683.97251 | delta: 6.4e+03 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 91] fit: 257518.61756 | delta: 6.2e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 92] fit: 251556.97208 | delta: 6.0e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 93] fit: 245796.25474 | delta: 5.8e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 94] fit: 240232.72932 | delta: 5.6e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [ 95] fit: 234860.82675 | delta: 5.4e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [ 96] fit: 229672.39827 | delta: 5.2e+03 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 97] fit: 224656.62911 | delta: 5.0e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 98] fit: 219801.02814 | delta: 4.9e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 99] fit: 215093.22485 | delta: 4.7e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [100] fit: 210522.51330 | delta: 4.6e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [101] fit: 206080.18181 | delta: 4.4e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [102] fit: 201758.81492 | delta: 4.3e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [103] fit: 197551.64848 | delta: 4.2e+03 | secs: 0.00576
DEBUG:MNF:MNF  ::: [104] fit: 193452.64030 | delta: 4.1e+03 | secs: 0.00569
DEBUG:MNF:MNF  ::: [105] fit: 189456.89195 | delta: 4.0e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [106] fit: 185560.75207 | delta: 3.9e+03 | secs: 0.00569
DEBUG:MNF:MNF  ::: [107] fit: 181761.47759 | delta: 3.8e+03 | secs: 0.00576
DEBUG:MNF:MNF  ::: [108] fit: 178056.81094 | delta: 3.7e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [109] fit: 174444.74274 | delta: 3.6e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [110] fit: 170923.44380 | delta: 3.5e+03 | secs: 0.00576
DEBUG:MNF:MNF  ::: [111] fit: 167491.26320 | delta: 3.4e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [112] fit: 164146.73987 | delta: 3.3e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [113] fit: 160888.61399 | delta: 3.3e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [114] fit: 157715.83190 | delta: 3.2e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [115] fit: 154627.53529 | delta: 3.1e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [116] fit: 151623.01790 | delta: 3.0e+03 | secs: 0.00580
DEBUG:MNF:MNF  ::: [117] fit: 148701.62430 | delta: 2.9e+03 | secs: 0.00578
DEBUG:MNF:MNF  ::: [118] fit: 145862.55737 | delta: 2.8e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [119] fit: 143104.56834 | delta: 2.8e+03 | secs: 0.00577
DEBUG:MNF:MNF  ::: [120] fit: 140425.54856 | delta: 2.7e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [121] fit: 137822.14865 | delta: 2.6e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [122] fit: 135289.68453 | delta: 2.5e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [123] fit: 132822.59856 | delta: 2.5e+03 | secs: 0.00577
DEBUG:MNF:MNF  ::: [124] fit: 130415.44635 | delta: 2.4e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [125] fit: 128063.90037 | delta: 2.4e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [126] fit: 125765.13982 | delta: 2.3e+03 | secs: 0.00570
DEBUG:MNF:MNF  ::: [127] fit: 123517.50616 | delta: 2.2e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [128] fit: 121319.87323 | delta: 2.2e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [129] fit: 119171.17412 | delta: 2.1e+03 | secs: 0.00577
DEBUG:MNF:MNF  ::: [130] fit: 117070.17736 | delta: 2.1e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [131] fit: 115015.44035 | delta: 2.1e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [132] fit: 113005.40076 | delta: 2.0e+03 | secs: 0.00574
DEBUG:MNF:MNF  ::: [133] fit: 111038.56618 | delta: 2.0e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [134] fit: 109113.69453 | delta: 1.9e+03 | secs: 0.00580
DEBUG:MNF:MNF  ::: [135] fit: 107229.85321 | delta: 1.9e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [136] fit: 105386.35415 | delta: 1.8e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [137] fit: 103582.65932 | delta: 1.8e+03 | secs: 0.00573
DEBUG:MNF:MNF  ::: [138] fit: 101818.32819 | delta: 1.8e+03 | secs: 0.00577
DEBUG:MNF:MNF  ::: [139] fit: 100093.00789 | delta: 1.7e+03 | secs: 0.00580
DEBUG:MNF:MNF  ::: [140] fit: 98406.44144 | delta: 1.7e+03 | secs: 0.00569
DEBUG:MNF:MNF  ::: [141] fit: 96758.48122 | delta: 1.6e+03 | secs: 0.00575
DEBUG:MNF:MNF  ::: [142] fit: 95149.10442 | delta: 1.6e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [143] fit: 93578.42878 | delta: 1.6e+03 | secs: 0.00573
