DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 831244414.93885 | delta: 8.3e+08 | secs: 0.00650
DEBUG:MNF:MNF  ::: [391] fit: 12657.17144 | delta: 5.2e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [392] fit: 12605.28143 | delta: 5.2e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [393] fit: 12553.65223 | delta: 5.2e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [394] fit: 12502.28220 | delta: 5.1e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [395] fit: 12451.16970 | delta: 5.1e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [396] fit: 12400.31311 | delta: 5.1e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [397] fit: 12349.71084 | delta: 5.1e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [398] fit: 12299.36129 | delta: 5.0e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [399] fit: 12249.26287 | delta: 5.0e+01 | secs: 0.00556
DEBUG:MNF:MNF  ::: [400] fit: 12199.41404 | delta: 5.0e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [401] fit: 12149.81322 | delta: 5.0e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [402] fit: 12100.45888 | delta: 4.9e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [403] fit: 12051.34949 | delta: 4.9e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [404] fit: 12002.48353 | delta: 4.9e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [405] fit: 11953.85951 | delta: 4.9e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [406] fit: 11905.47592 | delta: 4.8e+01 | secs: 0.00567
DEBUG:MNF:MNF  ::: [407] fit: 11857.33129 | delta: 4.8e+01 | secs: 0.00558
DEBUG:MNF:MNF  ::: [408] fit: 11809.42414 | delta: 4.8e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [409] fit: 11761.75303 | delta: 4.8e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [410] fit: 11714.31651 | delta: 4.7e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [411] fit: 11667.11313 | delta: 4.7e+01 | secs: 0.00557
DEBUG:MNF:MNF  ::: [412] fit: 11620.14149 | delta: 4.7e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [413] fit: 11573.40017 | delta: 4.7e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [414] fit: 11526.88777 | delta: 4.7e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [415] fit: 11480.60291 | delta: 4.6e+01 | secs: 0.00558
DEBUG:MNF:MNF  ::: [416] fit: 11434.54421 | delta: 4.6e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [417] fit: 11388.71029 | delta: 4.6e+01 | secs: 0.00558
DEBUG:MNF:MNF  ::: [418] fit: 11343.09981 | delta: 4.6e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [419] fit: 11297.71143 | delta: 4.5e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [420] fit: 11252.54381 | delta: 4.5e+01 | secs: 0.00569
DEBUG:MNF:MNF  ::: [421] fit: 11207.59563 | delta: 4.5e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [422] fit: 11162.86557 | delta: 4.5e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [423] fit: 11118.35235 | delta: 4.5e+01 | secs: 0.00557
DEBUG:MNF:MNF  ::: [424] fit: 11074.05466 | delta: 4.4e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [425] fit: 11029.97123 | delta: 4.4e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [426] fit: 10986.10080 | delta: 4.4e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [427] fit: 10942.44209 | delta: 4.4e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [428] fit: 10898.99388 | delta: 4.3e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [429] fit: 10855.75491 | delta: 4.3e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [430] fit: 10812.72396 | delta: 4.3e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [431] fit: 10769.89982 | delta: 4.3e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [432] fit: 10727.28128 | delta: 4.3e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [433] fit: 10684.86714 | delta: 4.2e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [434] fit: 10642.65623 | delta: 4.2e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [435] fit: 10600.64736 | delta: 4.2e+01 | secs: 0.00557
DEBUG:MNF:MNF  ::: [436] fit: 10558.83937 | delta: 4.2e+01 | secs: 0.00568
DEBUG:MNF:MNF  ::: [437] fit: 10517.23111 | delta: 4.2e+01 | secs: 0.00556
DEBUG:MNF:MNF  ::: [438] fit: 10475.82144 | delta: 4.1e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [439] fit: 10434.60922 | delta: 4.1e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [440] fit: 10393.59333 | delta: 4.1e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [441] fit: 10352.77266 | delta: 4.1e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [442] fit: 10312.14612 | delta: 4.1e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [443] fit: 10271.71261 | delta: 4.0e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [444] fit: 10231.47105 | delta: 4.0e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [445] fit: 10191.42039 | delta: 4.0e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [446] fit: 10151.55955 | delta: 4.0e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [447] fit: 10111.88752 | delta: 4.0e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [448] fit: 10072.40324 | delta: 3.9e+01 | secs: 0.00666
DEBUG:MNF:MNF  ::: [449] fit: 10033.10571 | delta: 3.9e+01 | secs: 0.00573
DEBUG:MNF:MNF  ::: [450] fit: 9993.99392 | delta: 3.9e+01 | secs: 0.00567
DEBUG:MNF:MNF  ::: [451] fit: 9955.06689 | delta: 3.9e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [452] fit: 9916.32362 | delta: 3.9e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [453] fit: 9877.76316 | delta: 3.9e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [454] fit: 9839.38457 | delta: 3.8e+01 | secs: 0.00577
DEBUG:MNF:MNF  ::: [455] fit: 9801.18690 | delta: 3.8e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [456] fit: 9763.16925 | delta: 3.8e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [457] fit: 9725.33072 | delta: 3.8e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [458] fit: 9687.67044 | delta: 3.8e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [459] fit: 9650.18754 | delta: 3.7e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [460] fit: 9612.88120 | delta: 3.7e+01 | secs: 0.00569
DEBUG:MNF:MNF  ::: [461] fit: 9575.75060 | delta: 3.7e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [462] fit: 9538.79496 | delta: 3.7e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [463] fit: 9502.01354 | delta: 3.7e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [464] fit: 9465.40561 | delta: 3.7e+01 | secs: 0.00571
DEBUG:MNF:MNF  ::: [465] fit: 9428.97049 | delta: 3.6e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [466] fit: 9392.70754 | delta: 3.6e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [467] fit: 9356.61617 | delta: 3.6e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [468] fit: 9320.69583 | delta: 3.6e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [469] fit: 9284.94606 | delta: 3.6e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [470] fit: 9249.36643 | delta: 3.6e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [471] fit: 9213.95664 | delta: 3.5e+01 | secs: 0.00557
DEBUG:MNF:MNF  ::: [472] fit: 9178.71645 | delta: 3.5e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [473] fit: 9143.64576 | delta: 3.5e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [474] fit: 9108.74458 | delta: 3.5e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [475] fit: 9074.01312 | delta: 3.5e+01 | secs: 0.00558
DEBUG:MNF:MNF  ::: [476] fit: 9039.45175 | delta: 3.5e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [477] fit: 9005.06110 | delta: 3.4e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [478] fit: 8970.84207 | delta: 3.4e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [479] fit: 8936.79590 | delta: 3.4e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [480] fit: 8902.92423 | delta: 3.4e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [481] fit: 8869.22917 | delta: 3.4e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [482] fit: 8835.71337 | delta: 3.4e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [483] fit: 8802.38004 | delta: 3.3e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [484] fit: 8769.23293 | delta: 3.3e+01 | secs: 0.00566
DEBUG:MNF:MNF  ::: [485] fit: 8736.27617 | delta: 3.3e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [486] fit: 8703.51382 | delta: 3.3e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [487] fit: 8670.94913 | delta: 3.3e+01 | secs: 0.00559
DEBUG:MNF:MNF  ::: [488] fit: 8638.58327 | delta: 3.2e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [489] fit: 8606.41391 | delta: 3.2e+01 | secs: 0.00560
DEBUG:MNF:MNF  ::: [490] fit: 8574.43405 | delta: 3.2e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [491] fit: 8542.63238 | delta: 3.2e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [492] fit: 8510.99553 | delta: 3.2e+01 | secs: 0.00562
DEBUG:MNF:MNF  ::: [493] fit: 8479.51157 | delta: 3.1e+01 | secs: 0.00563
DEBUG:MNF:MNF  ::: [494] fit: 8448.17242 | delta: 3.1e+01 | secs: 0.00564
DEBUG:MNF:MNF  ::: [495] fit: 8416.97387 | delta: 3.1e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [496] fit: 8385.91410 | delta: 3.1e+01 | secs: 0.00565
DEBUG:MNF:MNF  ::: [497] fit: 8354.99212 | delta: 3.1e+01 | secs: 0.00561
DEBUG:MNF:MNF  ::: [498] fit: 8324.20719 | delta: 3.1e+01 | secs: 0.00567
DEBUG:MNF:MNF  ::: [499] fit: 8293.55855 | delta: 3.1e+01 | secs: 0.00560
DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 831244414.93885 | delta: 8.3e+08 | secs: 0.00578
DEBUG:MNF:MNF  ::: [  1] fit: 527225436.96845 | delta: 3.0e+08 | secs: 0.00584
DEBUG:MNF:MNF  ::: [  2] fit: 346242671.40705 | delta: 1.8e+08 | secs: 0.00578
DEBUG:MNF:MNF  ::: [  3] fit: 294187997.22652 | delta: 5.2e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [  4] fit: 257509277.63915 | delta: 3.7e+07 | secs: 0.00557
DEBUG:MNF:MNF  ::: [  5] fit: 208239745.23840 | delta: 4.9e+07 | secs: 0.00555
DEBUG:MNF:MNF  ::: [  6] fit: 158458026.00472 | delta: 5.0e+07 | secs: 0.00559
DEBUG:MNF:MNF  ::: [  7] fit: 117494170.02316 | delta: 4.1e+07 | secs: 0.00559
DEBUG:MNF:MNF  ::: [  8] fit: 87014327.49903 | delta: 3.0e+07 | secs: 0.00560
DEBUG:MNF:MNF  ::: [  9] fit: 65248229.23346 | delta: 2.2e+07 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 10] fit: 49838127.07201 | delta: 1.5e+07 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 11] fit: 38834564.77843 | delta: 1.1e+07 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 12] fit: 30844920.23365 | delta: 8.0e+06 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 13] fit: 24928792.18174 | delta: 5.9e+06 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 14] fit: 20462268.35812 | delta: 4.5e+06 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 15] fit: 17030178.21948 | delta: 3.4e+06 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 16] fit: 14351903.32176 | delta: 2.7e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 17] fit: 12233435.23492 | delta: 2.1e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 18] fit: 10537337.50911 | delta: 1.7e+06 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 19] fit: 9163983.08357 | delta: 1.4e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 20] fit: 8039679.43436 | delta: 1.1e+06 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 21] fit: 7109078.51644 | delta: 9.3e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 22] fit: 6330254.97005 | delta: 7.8e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 23] fit: 5671372.25702 | delta: 6.6e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 24] fit: 5108268.72970 | delta: 5.6e+05 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 25] fit: 4622623.30329 | delta: 4.9e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 26] fit: 4200546.60211 | delta: 4.2e+05 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 27] fit: 3831482.99132 | delta: 3.7e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 28] fit: 3507311.73807 | delta: 3.2e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 29] fit: 3221609.68963 | delta: 2.9e+05 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 30] fit: 2969110.84784 | delta: 2.5e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 31] fit: 2745367.01343 | delta: 2.2e+05 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 32] fit: 2546550.52164 | delta: 2.0e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 33] fit: 2369335.30152 | delta: 1.8e+05 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 34] fit: 2210820.53114 | delta: 1.6e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 35] fit: 2068483.26252 | delta: 1.4e+05 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 36] fit: 1940149.79517 | delta: 1.3e+05 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 37] fit: 1823962.06284 | delta: 1.2e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 38] fit: 1718319.88466 | delta: 1.1e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 39] fit: 1621814.72896 | delta: 9.7e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 40] fit: 1533191.89606 | delta: 8.9e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 41] fit: 1451358.62021 | delta: 8.2e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 42] fit: 1375417.34534 | delta: 7.6e+04 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 43] fit: 1304681.53358 | delta: 7.1e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 44] fit: 1238647.38923 | delta: 6.6e+04 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 45] fit: 1176934.55480 | delta: 6.2e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 46] fit: 1119229.58715 | delta: 5.8e+04 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 47] fit: 1065251.90463 | delta: 5.4e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 48] fit: 1014740.11815 | delta: 5.1e+04 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 49] fit: 967450.04480 | delta: 4.7e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 50] fit: 923158.34750 | delta: 4.4e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 51] fit: 881666.37470 | delta: 4.1e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 52] fit: 842798.39078 | delta: 3.9e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 53] fit: 806393.12815 | delta: 3.6e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 54] fit: 772295.05818 | delta: 3.4e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 55] fit: 740352.52173 | delta: 3.2e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 56] fit: 710422.51374 | delta: 3.0e+04 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 57] fit: 682375.49350 | delta: 2.8e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 58] fit: 656094.92973 | delta: 2.6e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 59] fit: 631472.63784 | delta: 2.5e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 60] fit: 608404.32509 | delta: 2.3e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 61] fit: 586787.77075 | delta: 2.2e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 62] fit: 566523.59801 | delta: 2.0e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 63] fit: 547517.21757 | delta: 1.9e+04 | secs: 0.00616
DEBUG:MNF:MNF  ::: [ 64] fit: 529678.65941 | delta: 1.8e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 65] fit: 512917.87447 | delta: 1.7e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 66] fit: 497138.44526 | delta: 1.6e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 67] fit: 482236.19730 | delta: 1.5e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 68] fit: 468105.95458 | delta: 1.4e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 69] fit: 454652.67442 | delta: 1.3e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 70] fit: 441799.10996 | delta: 1.3e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 71] fit: 429485.58560 | delta: 1.2e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 72] fit: 417664.97323 | delta: 1.2e+04 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 73] fit: 406298.48922 | delta: 1.1e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 74] fit: 395354.20887 | delta: 1.1e+04 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 75] fit: 384806.92976 | delta: 1.1e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 76] fit: 374637.71659 | delta: 1.0e+04 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 77] fit: 364832.21942 | delta: 9.8e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 78] fit: 355377.95106 | delta: 9.5e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 79] fit: 346261.59584 | delta: 9.1e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 80] fit: 337467.33483 | delta: 8.8e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 81] fit: 328976.63136 | delta: 8.5e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 82] fit: 320769.53308 | delta: 8.2e+03 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 83] fit: 312826.97830 | delta: 7.9e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 84] fit: 305132.92736 | delta: 7.7e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 85] fit: 297675.22519 | delta: 7.5e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 86] fit: 290445.10316 | delta: 7.2e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 87] fit: 283436.12405 | delta: 7.0e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 88] fit: 276643.32869 | delta: 6.8e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 89] fit: 270062.75490 | delta: 6.6e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 90] fit: 263691.16269 | delta: 6.4e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 91] fit: 257525.81033 | delta: 6.2e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 92] fit: 251564.16736 | delta: 6.0e+03 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 93] fit: 245803.45246 | delta: 5.8e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 94] fit: 240239.92940 | delta: 5.6e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 95] fit: 234868.02912 | delta: 5.4e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 96] fit: 229679.60286 | delta: 5.2e+03 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 97] fit: 224663.83588 | delta: 5.0e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 98] fit: 219808.23706 | delta: 4.9e+03 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 99] fit: 215100.43591 | delta: 4.7e+03 | secs: 0.00617
DEBUG:MNF:MNF  ::: [100] fit: 210529.72650 | delta: 4.6e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [101] fit: 206087.39713 | delta: 4.4e+03 | secs: 0.00571
DEBUG:MNF:MNF  ::: [102] fit: 201766.03233 | delta: 4.3e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [103] fit: 197558.86794 | delta: 4.2e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [104] fit: 193459.86176 | delta: 4.1e+03 | secs: 0.00566
DEBUG:MNF:MNF  ::: [105] fit: 189464.11535 | delta: 4.0e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [106] fit: 185567.97735 | delta: 3.9e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [107] fit: 181768.70469 | delta: 3.8e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [108] fit: 178064.03978 | delta: 3.7e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [109] fit: 174451.97326 | delta: 3.6e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [110] fit: 170930.67591 | delta: 3.5e+03 | secs: 0.00568
DEBUG:MNF:MNF  ::: [111] fit: 167498.49683 | delta: 3.4e+03 | secs: 0.00566
DEBUG:MNF:MNF  ::: [112] fit: 164153.97494 | delta: 3.3e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [113] fit: 160895.85039 | delta: 3.3e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [114] fit: 157723.06956 | delta: 3.2e+03 | secs: 0.00568
DEBUG:MNF:MNF  ::: [115] fit: 154634.77409 | delta: 3.1e+03 | secs: 0.00566
DEBUG:MNF:MNF  ::: [116] fit: 151630.25775 | delta: 3.0e+03 | secs: 0.00559
DEBUG:MNF:MNF  ::: [117] fit: 148708.86508 | delta: 2.9e+03 | secs: 0.00569
DEBUG:MNF:MNF  ::: [118] fit: 145869.79898 | delta: 2.8e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [119] fit: 143111.81071 | delta: 2.8e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [120] fit: 140432.79164 | delta: 2.7e+03 | secs: 0.00561
DEBUG:MNF:MNF  ::: [121] fit: 137829.39244 | delta: 2.6e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [122] fit: 135296.92908 | delta: 2.5e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [123] fit: 132829.84396 | delta: 2.5e+03 | secs: 0.00566
DEBUG:MNF:MNF  ::: [124] fit: 130422.69268 | delta: 2.4e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [125] fit: 128071.14766 | delta: 2.4e+03 | secs: 0.00570
DEBUG:MNF:MNF  ::: [126] fit: 125772.38808 | delta: 2.3e+03 | secs: 0.00560
DEBUG:MNF:MNF  ::: [127] fit: 123524.75536 | delta: 2.2e+03 | secs: 0.00568
DEBUG:MNF:MNF  ::: [128] fit: 121327.12334 | delta: 2.2e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [129] fit: 119178.42513 | delta: 2.1e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [130] fit: 117077.42927 | delta: 2.1e+03 | secs: 0.00561
DEBUG:MNF:MNF  ::: [131] fit: 115022.69318 | delta: 2.1e+03 | secs: 0.00567
DEBUG:MNF:MNF  ::: [132] fit: 113012.65454 | delta: 2.0e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [133] fit: 111045.82093 | delta: 2.0e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [134] fit: 109120.95028 | delta: 1.9e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [135] fit: 107237.10995 | delta: 1.9e+03 | secs: 0.00572
DEBUG:MNF:MNF  ::: [136] fit: 105393.61188 | delta: 1.8e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [137] fit: 103589.91801 | delta: 1.8e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [138] fit: 101825.58784 | delta: 1.8e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [139] fit: 100100.26850 | delta: 1.7e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [140] fit: 98413.70300 | delta: 1.7e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [141] fit: 96765.74372 | delta: 1.6e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [142] fit: 95156.36787 | delta: 1.6e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [143] fit: 93585.69318 | delta: 1.6e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [144] fit: 92053.99096 | delta: 1.5e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [145] fit: 90561.69025 | delta: 1.5e+03 | secs: 0.00568
DEBUG:MNF:MNF  ::: [146] fit: 89109.36212 | delta: 1.5e+03 | secs: 0.00562
DEBUG:MNF:MNF  ::: [147] fit: 87697.66633 | delta: 1.4e+03 | secs: 0.00565
DEBUG:MNF:MNF  ::: [148] fit: 86327.23733 | delta: 1.4e+03 | secs: 0.00564
DEBUG:MNF:MNF  ::: [149] fit: 84998.49077 | delta: 1.3e+03 | secs: 0.00569
DEBUG:MNF:MNF  ::: [150] fit: 83711.36218 | delta: 1.3e+03 | secs: 0.00561
DEBUG:MNF:MNF  ::: [151] fit: 82465.05768 | delta: 1.2e+03 | secs: 0.00563
DEBUG:MNF:MNF  ::: [152] fit: 81257.97188 | delta: 1.2e+03 | secs: 0.00562
